Описание	№ ООН	Класс	Код	№ опасности	Группа упаковки	Трансп. категория
РАСТВОР ДЛЯ НАНЕСЕНИЯ ПОКРЫТИЯ (включая растворы для обработки или покрытия поверхностей, используемые в промышленных или иных целях, например для нанесения грунтовочного покрытия на корпус автомобилей, футировки барабанов или бочек)	1139	3	F1	30	III	3
РАСТВОР ДЛЯ НАНЕСЕНИЯ ПОКРЫТИЯ (включая растворы для обработки или покрытия поверхностей, используемые в промышленных или иных целях, например для нанесения грунтовочного покрытия или корпус автомобилей, футеровки барабанов или бочек) (имеющий температуру вспышки ниже 23°С и вязкий согласно пункту 2.2.3.1.4) (давление паров при 50°С более 110 кПа)	1139	3	F1		III	3
РАСТВОР ДЛЯ НАНЕСЕНИЯ ПОКРЫТИЯ (включая растворы для обработки или покрытия поверхностей, используемые в промышленных или иных целях, например для нанесения грунтовочного покрытия или корпус автомобилей, футеровки барабанов или бочек) (имеющий температуру вспышки ниже 23°С и вязкий согласно пункту 2.2.3.1.4) (давление паров при 50°С не более 110 кПа)	1139	3	F1		III	3
КРОТОНАЛЬДЕГИД	1143	43106	TF1	663	I	1
КРОТОНАЛЬДЕГИД СТАБИЛИЗИРОВАННЫЙ	1143	43106	TF1	663	I	1
КРОТОНИЛЕН	1144	3	F1	339	I	1
ЦИКЛОГЕКСАН	1145	3	F1	33	II	2
ЦИКЛОПЕНТАН	1146	3	F1	33	II	2
ДЕКАГИДРОНАФТАЛИН	1147	3	F1	30	III	3
СПИРТ ДИАЦЕТОНОВЫЙ	1148	3	F1	33	II	2
СПИРТ ДИАЦЕТОНОВЫЙ	1148	3	F1	30	III	3
ЭФИРЫ ДИБУТИЛОВЫЕ	1149	3	F1	30	III	3
1,2-ДИХЛОРЭТИЛЕН	1150	3	F1	33	II	2
ДИХЛОРПЕНТАНЫ	1152	3	F1	30	III	3
ЭФИР ДИЭТИЛОВЫЙ ЭТИЛЕНГЛИКОЛЯ	1153	3	F1	33	II	2
ЭФИР ДИЭТИЛОВЫЙ ЭТИЛЕНГЛИКОЛЯ	1153	3	F1	30	III	3
ДИЭТИЛАМИН	1154	3	FC	338	II	2
ЭФИР ДИЭТИЛОВЫЙ (ЭФИР ЭТИЛОВЫЙ)	1155	3	F1	33	I	1
ДИЭТИЛКЕТОН	1156	3	F1	33	II	2
ДИИЗОБУТИЛКЕТОН	1157	3	F1	30	III	3
ДИИЗОПРОПИЛАМИН	1158	3	FC	338	II	2
ЭФИР ДИИЗОПРОПИЛОВЫЙ	1159	3	F1	33	II	2
ДИМЕТИЛАМИНА ВОДНЫЙ РАСТВОР	1160	3	FC	338	II	2
ДИМЕТИЛКАРБОНАТ	1161	3	F1	33	II	2
ДИМЕТИЛДИХЛОРСИЛАН	1162	3	FC	X338	II	2
ДИМЕТИЛГИДРАЗИН НЕСИММЕТРИЧНЫЙ	1163	43106	TFC	663	I	1
ДИМЕТИЛСУЛЬФИД	1164	3	F1	33	II	2
ДИОКСАН	1165	3	F1	33	II	2
ДИОКСОЛАН	1166	3	F1	33	II	2
ЭФИР ДИВИНИЛОВЫЙ СТАБИЛИЗИРОВАННЫЙ	1167	3	F1	339	I	1
ЭКСТРАКТЫ АРОМАТИЧЕСКИЕ ЖИДКИЕ (давление паров при 50°С более 110 кПа)	1169	3	F1	33	II	2
ЭКСТРАКТЫ АРОМАТИЧЕСКИЕ ЖИДКИЕ (давление паров при 50°С не более 110 кПа)	1169	3	F1	33	II	2
ЭКСТРАКТЫ АРОМАТИЧЕСКИЕ ЖИДКИЕ	1169	3	F1	30	III	3
ЭКСТРАКТЫ АРОМАТИЧЕСКИЕ ЖИДКИЕ (имеющие температуру вспышки ниже 23°С и вязкие согласно пункту 2.2.3.1.4) (давление паров при 50°С более 110 кПа)	1169	3	F1		III	3
ЭКСТРАКТЫ АРОМАТИЧЕСКИЕ ЖИДКИЕ (имеющие температуру вспышки ниже 23°С и вязкие согласно пункту 2.2.3.1.4) (давление паров при 50°С не более 110 кПа)	1169	3	F1		III	3
ЭТАНОЛ (СПИРТ ЭТИЛОВЫЙ)	1170	3	F1	33	II	2
ЭТАНОЛА РАСТВОР (СПИРТА ЭТИЛОВОГО РАСТВОР)	1170	3	F1	33	II	2
ЭТАНОЛА РАСТВОР (СПИРТА ЭТИЛОВОГО РАСТВОР)	1170	3	F1	30	III	3
ЭФИР МОНОЭТИЛОВЫЙ ЭТИЛЕНГЛИКОЛЯ	1171	3	F1	30	III	3
ЭФИР МОНОЭТИЛОВЫЙ ЭТИЛЕНГЛИКОЛЯ И КИСЛОТЫ УКСУСНОЙ	1172	3	F1	30	III	3
ЭТИЛАЦЕТАТ	1173	3	F1	33	II	2
ЭТИЛБЕНЗОЛ	1175	3	F1	33	II	2
ЭТИЛБОРАТ	1176	3	F1	33	II	2
ЭТИЛБУТИЛАЦЕТАТ	1177	3	F1	30	III	3
2-ЭТИЛБУТИРАЛЬДЕГИД	1178	3	F1	33	II	2
ЭФИР ЭТИЛБУТИЛОВЫЙ	1179	3	F1	33	II	2
ЭТИЛБУТИРАТ	1180	3	F1	30	III	3
ЭТИЛХЛОРАЦЕТАТ	1181	43106	TF1	63	II	2
ЭТИЛХЛОРФОРМИАТ	1182	43106	TFC	663	I	1
ЭТИЛДИХЛОРСИЛАН	1183	43163	WFC	X338	I	0
ЭТИЛЕНДИХЛОРИД	1184	3	FT1	336	II	2
ЭТИЛЕНИМИН СТАБИЛИЗИРОВАННЫЙ	1185	43106	TF1	663	I	1
ЭФИР МОНОМЕТИЛОВЫЙ ЭТИЛЕНГЛИКОЛЯ	1188	3	F1	30	III	3
ЭФИР МОНОМЕТИЛОВЫЙ ЭТИЛЕНГЛИКОЛЯ И КИСЛОТЫ УКСУСНОЙ	1189	3	F1	30	III	3
ЭТИЛФОРМИАТ	1190	3	F1	33	II	2
АЛЬДЕГИДЫ ОКТИЛОВЫЕ	1191	3	F1	30	III	3
ЭТИЛЛАКТАТ	1192	3	F1	30	III	3
ЭТИЛМЕТИЛКЕТОН (МЕТИЛЭТИЛКЕТОН)	1193	3	F1	33	II	2
ЭТИЛНИТРИТА РАСТВОР	1194	3	FT1	336	I	1
ЭТИЛПРОПИОНАТ	1195	3	F1	33	II	2
ЭТИЛТРИХЛОРСИЛАН	1196	3	FC	X338	II	2
ЭКСТРАКТЫ АРОМАТНЫЕ ЖИДКИЕ (давление паров при 50°С более 110 кПа)	1197	3	F1	33	II	2
ЭКСТРАКТЫ АРОМАТНЫЕ ЖИДКИЕ (давление паров при 50°С не более 110 кПа)	1197	3	F1	33	II	2
ЭКСТРАКТЫ АРОМАТНЫЕ ЖИДКИЕ	1197	3	F1	30	III	3
ЭКСТРАКТЫ АРОМАТНЫЕ ЖИДКИЕ (имеющие температуру вспышки ниже 23°С и вязкие согласно пункту 2.2.3.1.4) (давление паров при 50°С более 110 кПа)	1197	3	F1		III	3
ЭКСТРАКТЫ АРОМАТНЫЕ ЖИДКИЕ (имеющие температуру вспышки ниже 23°С и вязкие согласно пункту 2.2.3.1.4) (давление паров при 50°С не более 110 кПа)	1197	3	F1		III	3
ФОРМАЛЬДЕГИДА РАСТВОР ЛЕГКОВОСПЛАМЕНЯЮЩИЙСЯ	1198	3	FC	38	III	3
ФУРАЛЬДЕГИДЫ	1199	43106	TF1	63	II	2
МАСЛО СИВУШНОЕ	1201	3	F1	33	II	2
МАСЛО СИВУШНОЕ	1201	3	F1	30	III	3
ГАЗОЙЛЬ (температура вспышки не более 60°С)	1202	3	F1	30	III	3
ТОПЛИВО ДИЗЕЛЬНОЕ (температура вспышки не более 60°С)	1202	3	F1	30	III	3
ТОПЛИВО ПЕЧНОЕ ЛЕГКОЕ (температура вспышки не более 60°С)	1202	3	F1	30	III	3
ТОПЛИВО ДИЗЕЛЬНОЕ, соответствующее стандарту EN 590:2013+AC:2014	1202	3	F1	30	III	3
ГАЗОЙЛЬ с температурой вспышки, указанной в стандарте EN 590:2013 + AC:2014	1202	3	F1	30	III	3
ТОПЛИВО ПЕЧНОЕ ЛЕГКОЕ с температурой вспышки, указанной в стандарте EN 590:2013 + AC: 2014	1202	3	F1	30	III	3
ГАЗОЙЛЬ ( температура вспышки более 60°С и не более 100°С)	1202	3	F1	30	III	3
ТОПЛИВО ДИЗЕЛЬНОЕ (температура вспышки более 60°С и не более 100°С)	1202	3	F1	30	III	3
ТОПЛИВО ПЕЧНОЕ ЛЕГКОЕ ( температура вспышки более 61°С и не более 100°С)	1202	3	F1	30	III	3
БЕНЗИН МОТОРНЫЙ	1203	3	F1	33	II	2
ГАЗОЛИН	1203	3	F1	33	II	2
ПЕТРОЛ	1203	3	F1	33	II	2
НИТРОГЛИЦЕРИНА СПИРТОВОЙ РАСТВОР с долей нитроглицерина не более 1%	1204	3	D		II	2
ГЕПТАНЫ	1206	3	F1	33	II	2
ГЕКСАЛЬДЕГИД	1207	3	F1	30	III	3
ГЕКСАНЫ	1208	3	F1	33	II	2
КРАСКА ТИПОГРАФСКАЯ легковоспламеняющаяся	1210	3	F1	30	III	3
МАТЕРИАЛ, ИСПОЛЬЗУЕМЫЙ С ТИПОГРАФИЧЕСКОЙ КРАСКОЙ (включая разбавитель или растворитель типограической краски), легковоспламеняющийся	1210	3	F1	30	III	3
КРАСКА ТИПОГРАФСКАЯ легковоспламеняющаяся (имеющая температуру вспышки ниже 23°С, вязкая согласно пункту 2.2.3.1.4) (давление паров при 50°С более 110 кПа)	1210	3	F1		III	3
МАТЕРИАЛ, ИСПОЛЬЗУЕМЫЙ С ТИПОГРАФИЧЕСКОЙ КРАСКОЙ (включая разбавитель или растворитель типограической краски), легковоспламеняющийся (имеющая температуру вспышки ниже 23°С, вязкая согласно пункту 2.2.3.1.4) (давление паров при 50°С более 110 кПа)	1210	3	F1		III	3
КРАСКА ТИПОГРАФСКАЯ легковоспламеняющаяся (имеющая температуру вспышки ниже 23°С, вязкая согласно пункту 2.2.3.1.4) (давление паров при 50°С не более 110 кПа)	1210	3	F1		III	3
МАТЕРИАЛ, ИСПОЛЬЗУЕМЫЙ С ТИПОГРАФИЧЕСКОЙ КРАСКОЙ (включая разбавитель или растворитель типограической краски), легковоспламеняющийся (имеющая температуру вспышки ниже 23°С, вязкая согласно пункту 2.2.3.1.4) (давление паров при 50°С не более 110 кПа)	1210	3	F1		III	3
КРАСКА ТИПОГРАФСКАЯ легковоспламеняющаяся	1210	3	F1	33	I	1
МАТЕРИАЛ, ИСПОЛЬЗУЕМЫЙ С ТИПОГРАФИЧЕСКОЙ КРАСКОЙ (включая разбавитель или растворитель типограической краски), легковоспламеняющийся	1210	3	F1	33	I	1
КРАСКА ТИПОГРАФСКАЯ легковоспламеняющаяся (давление паров при 50°С более 110 кПа)	1210	3	F1	33	II	2
МАТЕРИАЛ, ИСПОЛЬЗУЕМЫЙ С ТИПОГРАФИЧЕСКОЙ КРАСКОЙ (включая разбавитель или растворитель типограической краски), легковоспламеняющийся (давление паров при 50°С более 110 кПа)	1210	3	F1	33	II	2
КРАСКА ТИПОГРАФСКАЯ легковоспламеняющаяся (давление паров при 50°С не более 110 кПа)	1210	3	F1	33	II	2
МАТЕРИАЛ, ИСПОЛЬЗУЕМЫЙ С ТИПОГРАФИЧЕСКОЙ КРАСКОЙ (включая разбавитель или растворитель типограической краски), легковоспламеняющийся (давление паров при 50°С не более 110 кПа)	1210	3	F1	33	II	2
ИЗОБУТАНОЛ (СПИРТ ИЗОБУТИЛОВЫЙ)	1212	3	F1	30	III	3
ИЗОБУТИЛАЦЕТАТ	1213	3	F1	33	II	2
ИЗОБУТИЛАМИН	1214	3	FC	338	II	2
ИЗООКТЕНЫ	1216	3	F1	33	II	2
ИЗОПРЕН СТАБИЛИЗИРОВАННЫЙ	1218	3	F1	339	I	1
ИЗОПРОПАНОЛ (СПИРТ ИЗОПРОПИЛОВЫЙ)	1219	3	F1	33	II	2
ИЗОПРОПИЛАЦЕТАТ	1220	3	F1	33	II	2
ИЗОПРОПИЛАМИН	1221	3	FC	338	I	1
ИЗОПРОПИЛНИТРАТ	1222	3	F1		II	2
КЕРОСИН	1223	3	F1	30	III	3
КЕТОНЫ ЖИДКИЕ, Н.У.К. (давление паров при 50°С более 110 кПа)	1224	3	F1	33	II	2
КЕТОНЫ ЖИДКИЕ, Н.У.К. (давление паров при 50°С не более 110 кПа)	1224	3	F1	33	II	2
КЕТОНЫ ЖИДКИЕ, Н.У.К.	1224	3	F1	30	III	3
МЕРКАПТАНЫ ЖИДКИЕ ЛЕГКОВОСПЛАМЕНЯЮЩИЕСЯ ТОКСИЧНЫЕ, Н.У.К.	1228	3	FT1	336	II	2
МЕРКАПТАНЫ ЖИДКИЕ ЛЕГКОВОСПЛАМЕНЯЮЩИЕСЯ ТОКСИЧНЫЕ, Н.У.К.	1228	3	FT1	36	III	3
МЕРКАПТАНОВ СМЕСЬ ЖИДКАЯ ЛЕГКОВОСПЛАМЕНЯЮЩАЯСЯ ТОКСИЧНАЯ, Н.У.К.	1228	3	FT1	336	II	2
МЕРКАПТАНОВ СМЕСЬ ЖИДКАЯ ЛЕГКОВОСПЛАМЕНЯЮЩАЯСЯ ТОКСИЧНАЯ, Н.У.К.	1228	3	FT1	36	III	3
МЕЗИТИЛОКСИД	1229	3	F1	30	III	3
МЕТАНОЛ	1230	3	FT1	336	II	2
МЕТИЛАЦЕТАТ	1231	3	F1	33	II	2
МЕТИЛАМИЛАЦЕТАТ	1233	3	F1	30	III	3
МЕТИЛАЛЬ	1234	3	F1	33	II	2
МЕТИЛАМИНА ВОДНЫЙ РАСТВОР	1235	3	FC	338	II	2
МЕТИЛБУТИРАТ	1237	3	F1	33	II	2
МЕТИЛХЛОРФОРМИАТ	1238	43106	TFC	663	I	1
ЭФИР МЕТИЛХЛОРМЕТИЛОВЫЙ	1239	43106	TF1	663	I	1
МЕТИЛДИХЛОРСИЛАН	1242	43163	WFC	X338	I	0
МЕТИЛФОРМИАТ	1243	3	F1	33	I	1
МЕТИЛГИДРАЗИН	1244	43106	TFC	663	I	1
МЕТИЛИЗОБУТИЛКЕТОН	1245	3	F1	33	II	2
МЕТИЛИЗОПРОПЕНИЛКЕТОН СТАБИЛИЗИРОВАННЫЙ	1246	3	F1	339	II	2
МЕТИЛМЕТАКРИЛАТА МОНОМЕР СТАБИЛИЗИРОВАННЫЙ	1247	3	F1	339	II	2
МЕТИЛПРОПИОНАТ	1248	3	F1	33	II	2
МЕТИЛПРОПИЛКЕТОН	1249	3	F1	33	II	2
МЕТИЛТРИХЛОРСИЛАН	1250	3	FC	X338	II	2
МЕТИЛВИНИЛКЕТОН СТАБИЛИЗИРОВАННЫЙ	1251	43106	TFC	639	I	1
НИКЕЛЯ КАРБОНИЛ	1259	43106	TF1	663	I	1
НИТРОМЕТАН	1261	3	F1		II	2
ОКТАНЫ	1262	3	F1	33	II	2
КРАСКА (включая краску, лак, эмаль, краситель, шеллак, олифу, политуру, жидкий наполнитель и жидкую лаковую основу)	1263	3	F1	33	I	1
КРАСКА (включая краску, лак, эмаль, краситель, шеллак, олифу, политуру, жидкий наполнитель и жидкую лаковую основу) (давление паров при 50°С более 110 кПа)	1263	3	F1	33	II	2
КРАСКА (включая краску, лак, эмаль, краситель, шеллак, олифу, политуру, жидкий наполнитель и жидкую лаковую основу) (давление паров при 50°С не более 110 кПа)	1263	3	F1	33	II	2
КРАСКА (включая краску, лак, эмаль, краситель, шеллак, олифу, политуру, жидкий наполнитель и жидкую лаковую основу)	1263	3	F1	30	III	3
КРАСКА (включая краску, лак, эмаль, краситель, шеллак, олифу, политуру, жидкий наполнитель и жидкую лаковую основу) (имеющая температуру вспышки ниже 23 °С, вязкая согласно пункту 2.2.3.1.4) (давление паров при 50 °С более 110 кПа)	1263	3	F1		III	3
КРАСКА (включая краску, лак, эмаль, краситель, шеллак, олифу, политуру, жидкий наполнитель и жидкую лаковую основу) (имеющая температуру вспышки ниже 23°С, вязкаясогласно пункту 2.2.3.1.4) (давление паров при 50 °С не более 110 кПа)	1263	3	F1		III	3
МАТЕРИАЛ ЛАКОКРАСОЧНЫЙ (включая разбавитель или растворитель краски)	1263	3	F1	33	I	1
МАТЕРИАЛ ЛАКОКРАСОЧНЫЙ (включая разбавитель или растворитель краски) (давление паров при 50°С более 110 кПа)	1263	3	F1	33	II	2
МАТЕРИАЛ ЛАКОКРАСОЧНЫЙ (включая разбавитель или растворитель краски) (давление паров при 50°С не более 110 кПа)	1263	3	F1	33	II	2
МАТЕРИАЛ ЛАКОКРАСОЧНЫЙ (включая разбавитель или растворитель краски)	1263	3	F1	30	III	3
МАТЕРИАЛ ЛАКОКРАСОЧНЫЙ (включая разбавитель или растворитель краски) (имеющий температуру вспышки ниже 23°С, вязкий согласно пункту 2.2.3.1.4) (давление паров при 50 °С более 110 кПа)	1263	3	F1		III	3
МАТЕРИАЛ ЛАКОКРАСОЧНЫЙ (включая разбавитель или растворитель краски) (имеющий температуру вспышки ниже 23°С, вязкий согласно пункту 2.2.3.1.4) (давление паров при 50 °С не более 110 кПа)	1263	3	F1		III	3
ПАРАЛЬДЕГИД	1264	3	F1	30	III	3
ПЕНТАНЫ жидкие	1265	3	F1	33	I	1
ПЕНТАНЫ жидкие	1265	3	F1	33	II	2
ПАРФЮМЕРНЫЕ ПРОДУКТЫ, содержащие ЛЕГКОВОСПЛАМЕНЯЮЩИЕСЯ растворители (давление паров при 50°С более 110 кПа)	1266	3	F1	33	II	2
ПАРФЮМЕРНЫЕ ПРОДУКТЫ, содержащие ЛЕГКОВОСПЛАМЕНЯЮЩИЕСЯ растворители (давление паров при 50°С не более 110 кПа)	1266	3	F1	33	II	2
ПАРФЮМЕРНЫЕ ПРОДУКТЫ, содержащие легковоспламеняющиеся растворители	1266	3	F1	30	III	3
ПАРФЮМЕРНЫЕ ПРОДУКТЫ, содержащие ЛЕГКОВОСПЛАМЕНЯЮЩИЕСЯ растворители (имеющие температуру вспышки ниже 23 °С, вязкие согласно пункту 2.2.3.1.4) (давление паров при 50 °С более 110 кПа)	1266	3	F1		III	3
ПАРФЮМЕРНЫЕ ПРОДУКТЫ, содержащие ЛЕГКОВОСПЛАМЕНЯЮЩИЕСЯ растворители (имеющие температуру вспышки ниже 23 °С, вязкие согласно пункту 2.2.3.1.4) (давление паров при 50 °С не более 110 кПа)	1266	3	F1		III	3
НЕФТЬ СЫРАЯ	1267	3	F1	33	I	1
НЕФТЬ СЫРАЯ (давление паров при 50°С более 110 кПа)	1267	3	F1	33	II	2
НЕФТЬ СЫРАЯ (давление паров при 50°С не более 110 кПа)	1267	3	F1	33	II	2
НЕФТЬ СЫРАЯ	1267	3	F1	30	III	3
НЕФТИ ДИСТИЛЛЯТЫ, Н.У.К.	1268	3	F1	33	I	1
НЕФТИ ДИСТИЛЛЯТЫ, Н.У.К. (давление паров при 50°С более 110 кПа)	1268	3	F1	33	II	2
НЕФТИ ДИСТИЛЛЯТЫ, Н.У.К. (давление паров при 50°С не более 110 кПа)	1268	3	F1	33	II	2
НЕФТИ ДИСТИЛЛЯТЫ, Н.У.К.	1268	3	F1	30	III	3
НЕФТЕПРОДУКТЫ, Н.У.К.	1268	3	F1	33	I	1
НЕФТЕПРОДУКТЫ, Н.У.К. (давление паров при 50°С более 110 кПа)	1268	3	F1	33	II	2
НЕФТЕПРОДУКТЫ, Н.У.К. (давление паров при 50°С не более 110 кПа)	1268	3	F1	33	II	2
НЕФТЕПРОДУКТЫ, Н.У.К.	1268	3	F1	30	III	3
МАСЛО ХВОЙНОЕ	1272	3	F1	30	III	3
н-ПРОПАНОЛ (СПИРТ ПРОПИЛОВЫЙ НОРМАЛЬНЫЙ)	1274	3	F1	33	II	2
н-ПРОПАНОЛ (СПИРТ ПРОПИЛОВЫЙ НОРМАЛЬНЫЙ)	1274	3	F1	30	III	3
ПРОПИОНАЛЬДЕГИД	1275	3	F1	33	II	2
н-ПРОПИЛАЦЕТАТ	1276	3	F1	33	II	2
ПРОПИЛАМИН	1277	3	FC	338	II	2
1-ХЛОРПРОПАН	1278	3	F1	33	II	2
1,2-ДИХЛОРПРОПАН	1279	3	F1	33	II	2
ПРОПИЛЕНОКСИД	1280	3	F1	33	I	1
ПРОПИЛФОРМИАТЫ	1281	3	F1	33	II	2
ПИРИДИН	1282	3	F1	33	II	2
МАСЛО СМОЛЯНОЕ (давление паров при 50°С более 110 кПа)	1286	3	F1	33	II	2
МАСЛО СМОЛЯНОЕ (давление паров при 50°С не более 110 кПа)	1286	3	F1	33	II	2
МАСЛО СМОЛЯНОЕ	1286	3	F1	30	III	3
МАСЛО СМОЛЯНОЕ (имеющее температуру вспышки ниже 23°С, вязкое согласно пункту 2.2.3.1.4) (давление паров при 50 °С более 110 кПа)	1286	3	F1		III	3
МАСЛО СМОЛЯНОЕ (имеющее температуру вспышки ниже 23°С, вязкое согласно пункту 2.2.3.1.4) (давление паров при 50 °С не более 110 кПа)	1286	3	F1		III	3
КАУЧУКА РАСТВОР (давление паров при 50°С более 110 кПа)	1287	3	F1	33	II	2
КАУЧУКА РАСТВОР (давление паров при 50°С не более 110 кПа)	1287	3	F1	33	II	2
КАУЧУКА РАСТВОР	1287	3	F1	30	III	3
КАУЧУКА РАСТВОР (имеющий температуру вспышки ниже 23 °С и вязкий согласно пункту 2.2.3.1.4) (давление паров при 50 °С более 110 кПа)	1287	3	F1		III	3
КАУЧУКА РАСТВОР (имеющий температуру вспышки ниже 23 °С и вязкий согласно пункту 2.2.3.1.4) (давление паров при 50 °С не более 110 кПа)	1287	3	F1		III	3
МАСЛО СЛАНЦЕВОЕ	1288	3	F1	33	II	2
МАСЛО СЛАНЦЕВОЕ	1288	3	F1	30	III	3
НАТРИЯ МЕТИЛАТА РАСТВОР в спирте	1289	3	FC	338	II	2
НАТРИЯ МЕТИЛАТА РАСТВОР в спирте	1289	3	FC	38	III	3
ТЕТРАЭТИЛСИЛИКАТ	1292	3	F1	30	III	3
НАСТОЙКИ МЕДИЦИНСКИЕ	1293	3	F1	33	II	2
НАСТОЙКИ МЕДИЦИНСКИЕ	1293	3	F1	30	III	3
ТОЛУОЛ	1294	3	F1	33	II	2
ТРИХЛОРСИЛАН	1295	43163	WFC	X338	I	0
ТРИЭТИЛАМИН	1296	3	FC	338	II	2
ТРИМЕТИЛАМИНА ВОДНЫЙ РАСТВОР с массовой долей триметиламина не более 50%	1297	3	FC	338	I	1
ТРИМЕТИЛАМИНА ВОДНЫЙ РАСТВОР с массовой долей триметиламина не более 50%	1297	3	FC	338	II	2
ТРИМЕТИЛАМИНА ВОДНЫЙ РАСТВОР с массовой долей триметиламина не более 50%	1297	3	FC	38	III	3
ТРИМЕТИЛХЛОРСИЛАН	1298	3	FC	X338	II	2
СКИПИДАР	1299	3	F1	30	III	3
СКИПИДАРА ЗАМЕНИТЕЛЬ	1300	3	F1	33	II	2
СКИПИДАРА ЗАМЕНИТЕЛЬ	1300	3	F1	30	III	3
ВИНИЛАЦЕТАТ СТАБИЛИЗИРОВАННЫЙ	1301	3	F1	339	II	2
ЭФИР ВИНИЛЭТИЛОВЫЙ СТАБИЛИЗИРОВАННЫЙ	1302	3	F1	339	I	1
ВИНИЛИДЕНХЛОРИД СТАБИЛИЗИРОВАННЫЙ	1303	3	F1	339	I	1
ЭФИР ВИНИЛИЗОБУТИЛОВЫЙ СТАБИЛИЗИРОВАННЫЙ	1304	3	F1	339	II	2
ВИНИЛТРИХЛОРСИЛАН	1305	3	FC	X338	II	2
АНТИСЕПТИКИ ДЛЯ ДРЕВЕСИНЫ ЖИДКИЕ (давление паров при 50°С более 110 кПа)	1306	3	F1	33	II	2
АНТИСЕПТИКИ ДЛЯ ДРЕВЕСИНЫ ЖИДКИЕ (давление паров при 50°С не более 110 кПа)	1306	3	F1	33	II	2
АНТИСЕПТИКИ ДЛЯ ДРЕВЕСИНЫ ЖИДКИЕ	1306	3	F1	30	III	3
АНТИСЕПТИКИ ДЛЯ ДРЕВЕСИНЫ ЖИДКИЕ (имеющие температуру вспышки ниже 23 °С и вязкие согласно пункту 2.2.3.1.4) (давление паров при 50 °С более 110 кПа)	1306	3	F1		III	3
АНТИСЕПТИКИ ДЛЯ ДРЕВЕСИНЫ ЖИДКИЕ (имеющие температуру вспышки ниже 23 °С и вязкие согласно пункту 2.2.3.1.4) (давление паров при 50 °С не более 110 кПа)	1306	3	F1		III	3
КСИЛОЛЫ	1307	3	F1	33	II	2
КСИЛОЛЫ	1307	3	F1	30	III	3
ЦИРКОНИЙ, СУСПЕНДИРОВАННЫЙ В ЛЕГКОВОСПЛАМЕНЯЮЩЕЙСЯ ЖИДКОСТИ	1308	3	F1	33	I	1
ЦИРКОНИЙ, СУСПЕНДИРОВАННЫЙ В ЛЕГКОВОСПЛАМЕНЯЮЩЕЙСЯ ЖИДКОСТИ (давление паров при 50°С более 110 кПа)	1308	3	F1	33	II	2
ЦИРКОНИЙ, СУСПЕНДИРОВАННЫЙ В ЛЕГКОВОСПЛАМЕНЯЮЩЕЙСЯ ЖИДКОСТИ (давление паров при 50°С не более 110 кПа)	1308	3	F1	33	II	2
ЦИРКОНИЙ, СУСПЕНДИРОВАННЫЙ В ЛЕГКОВОСПЛАМЕНЯЮЩЕЙСЯ ЖИДКОСТИ	1308	3	F1	30	III	3
АЛЮМИНИЙ — ПОРОШОК ПОКРЫТЫЙ	1309	4.1	F3	40	II	2
АЛЮМИНИЙ — ПОРОШОК ПОКРЫТЫЙ	1309	4.1	F3	40	III	3
АММОНИЯ ПИКРАТ УВЛАЖНЕННЫЙ с массовой долей воды не менее 10%	1310	4.1	D		I	1
БОРНЕОЛ	1312	4.1	F1	40	III	3
КАЛЬЦИЯ РЕЗИНАТ	1313	4.1	F3	40	III	3
КАЛЬЦИЯ РЕЗИНАТ РАСПЛАВЛЕННЫЙ	1314	4.1	F3	40	III	3
КОБАЛЬТА РЕЗИНАТ ОСАЖДЕННЫЙ	1318	4.1	F3	40	III	3
ДИНИТРОФЕНОЛ УВЛАЖНЕННЫЙ с массовой долей воды не менее 15%	1320	4.1	DT		I	1
ДИНИТРОФЕНОЛЯТЫ УВЛАЖНЕННЫЕ с массовой долей воды не менее 15%	1321	4.1	DT		I	1
ДИНИТРОРЕЗОРЦИН УВЛАЖНЕННЫЙ с массовой долей воды не менее 15%	1322	4.1	D		I	1
ФЕРРОЦЕРИЙ	1323	4.1	F3	40	II	2
КИНО- И ФОТОПЛЕНКА НА НИТРОЦЕЛЛЮЛОЗНОЙ ОСНОВЕ, покрытая желатином, исключая отходы	1324	4.1	F1		III	3
ЛЕГКОВОСПЛАМЕНЯЮЩЕЕСЯ ТВЕРДОЕ ВЕЩЕСТВО ОРГАНИЧЕСКОЕ, Н.У.К.	1325	4.1	F1	40	II	2
ЛЕГКОВОСПЛАМЕНЯЮЩЕЕСЯ ТВЕРДОЕ ВЕЩЕСТВО ОРГАНИЧЕСКОЕ, Н.У.К.	1325	4.1	F1	40	III	3
ГАФНИЙ — ПОРОШОК УВЛАЖНЕННЫЙ с долей воды не менее 25%	1326	4.1	F3	40	II	2
Сено, Полова или Солома	1327	4.1	F1			
ГЕКСАМЕТИЛЕНТЕТРАМИН	1328	4.1	F1	40	III	3
МАРГАНЦА РЕЗИНАТ	1330	4.1	F3	40	III	3
СПИЧКИ СЕСКВИСУЛЬФИДНЫЕ	1331	4.1	F1		III	4
МЕТАЛЬДЕГИД	1332	4.1	F1	40	III	3
ЦЕРИЙ - пластинки, слитки или бруски	1333	4.1	F3		II	2
НАФТАЛИН СЫРОЙ	1334	4.1	F1	40	III	3
НАФТАЛИН ОЧИЩЕННЫЙ	1334	4.1	F1	40	III	3
НИТРОГУАНИДИН (ПИКРИТ) УВЛАЖНЕННЫЙ с массовой долей воды не менее 20%	1336	4.1	D		I	1
